name,latitude,longitude
Andheri Market (Andheri West) #1,19.12336596902914,72.84347608465576
Ram Mandir (Goregaon West) #1,19.152110618913287,72.84445470275257
Ram Ganesh Gadkari Chowk (Shivaji Park) #1,19.0259906116757,72.840778122396
Khadi Bhandar (Fort) #1,18.93679882270403,72.8338853110364
Bhayandar Railway Station West (Mira Bhayandar) #1,19.312150342285772,72.85181930560847
Virwani Estate (Goregaon) #1,19.169767265410748,72.85981492094622
Foreign Post Office (Fort) #1,18.935063128565233,72.8403119650297
Chakala Market (Kalbadevi) #1,18.949427033997157,72.83491727947379
Pandya Hospital (Borivali West) #1,19.233412564072587,72.85327376992319
Adarsh Nagar,19.015940256391918,72.82311709908245
Maitri Park (Chembur) #1,19.049969661710385,72.90475764141036
Bal Bharti (Kandivali West) #1,19.20023401939754,72.84883543130016
Bank Of Baroda BKC (Bandra East) #1,19.06129919845068,72.86306645568472
Strand Cinema (Colaba) #2,18.91720768,72.82740082
Bhakti Bhavan Sector 46,19.0123,73.0131
Jai Mahakali Mandir (Borivali) #2,19.24142375614039,72.86433035945855
Kadam Pada (Mulund West) #1,19.178541460864547,72.94708772854757
Lokhandwala Complex Junction (Andheri West) #1,19.14145420625409,72.8316286874604
Antop Hill Extension (Sangam Nagar) #1,19.024598001057928,72.87016210929679
General Arun Kumar Vaidya Marg Junction (Goregaon) #1,19.173995705620534,72.85845598519066
Nav Society,19.102279831445706,72.85324022607745
Shangrila Company (Bhandup West) #1,19.1556614137159,72.93743419233653
Sahar Post And Tar Colony No 2 (Vile Parle) #1,19.101463596212536,72.86321276715326
Vallabh Park (Ghatkopar East) #1,19.077959096071954,72.9124017754631
Dr K B Hedgewar Chowk (Mulund West) #1,19.16382896732089,72.9383688340354
Delta Tower #1,18.970974593832242,73.0132065831439
Kharghar Gram Panchayat (Navi Mumbai) #1,19.04495438054218,73.07910587595502
Jankidevi Vidyalaya (Andheri West) #1,19.13987164704729,72.82083817790983
Nirmal Life Style Or Hoechst Company (Mulund West) #1,19.165815312037726,72.93830908713721
Gandhi Nagar (Bhandup West) #1,19.125302826078336,72.92619775468971
North Bombay School (Ghatkopar West) #1,19.096562793486868,72.90787659447389
Dhokali Naka #1,19.227230053824083,72.98073221242781
Government Law College (Churchgate) #1,18.935636805586743,72.82420096197129
Ghatkopar Bus Station (Mankur) #1,19.0880923833258,72.91832381072187
Colaba Bus Station Post Office #1,18.911178399522637,72.82089911599061
Sai Amrut Society (Borivali West) #1,19.240698103295344,72.85854646904039
Durga Nagar (Goregaon) #1,19.138338686719973,72.87209888066243
Jaibhim Nagar (Goregaon) #1,19.17033003502578,72.87478863835193
Vidya Nagari (Santacruz East) #1,19.072525765616398,72.86094188649082
Poonam Chember Or Shivsagar Estate (Worli) #1,18.992024508832873,72.8142202821598
Marathon Chowk Teen Hath Naka (Thane) #1,19.18739606828896,72.9641025423279
Airoli Sector No 16 (Navi Mumbai) #1,19.14989704644277,72.9927475656414
Lallubhai Compound Police Chowki (Govandi East) #1,19.052999,72.927126
Fish Market (Dahisar East) #1,19.247929995343142,72.8690195165596
Ghatkopar Police Station (Ghatkopar West) #1,19.087075028247735,72.89998145490219
Kala Vidyalaya (Malad West) #1,19.18173427509227,72.81330743355133
Adarsh Market (Navi Mumbai) #1,19.013005757384708,73.01790838467313
Post and Telegraphs #1,19.169291328795193,72.94549305975389
State Bank Employees Colony (Malad East) #1,19.180354350042716,72.85434638773155
Sant Gadge Maharaj Chowk (RTO Colony),18.98138544207112,72.82587832944776
Bandra Talkies Or Shroff Eye Hospital (Bandra West) #1,19.06083640754369,72.83721963252356
Worli Dairy #1,18.99769362871616,72.81180344820834
M H B Colony (Jogeshwari East) #1,19.13375944763911,72.86286120705175
Mulund West Check Naka Bus Station #1,19.183007100569036,72.95356724070156
Jain Mandir Om Nagar,19.108431512242188,72.86798809048413
Tapeshwar Mandir (Goregaon) #1,19.136614673419263,72.88901155704305
Matunga Station West,19.030006628962205,72.84703613128282
N M Joshi Marg Police Station (Lower Parel) #1,18.991316224947937,72.83149249264241
Hindustan Company (Vikhroli West) #2,19.121892876366786,72.92538562975362
Bal Bharati Vidyalaya Kharghar (Navi Mumbai) #1,19.033684332303512,73.06249420219639
Motilal Nagar Post Office (Goregaon West) #1,19.159223054517646,72.84066559230185
Mira Road Sector 10 (Mira Bhayandar) #1,19.27585638330247,72.85985873811447
Blossom Company (Andheri East) #1,19.11700997673035,72.88158942566348
Akshay (Bandra West) #2,19.05227430881654,72.8324779740901
Saibaba Road (Parel) #1,18.99475894012928,72.84119896225977
Dattani Park (Kandivali East) #1,19.211649969032262,72.86857798557331
Smallscale Industries (Goregaon) #1,19.16099603467031,72.8570550874257
Dyaneshwar Nagar (Sewri) #1,19.005542116746224,72.85411755034923
CGS Dispensary (Antop Hill) #1,19.02979222359818,72.86302754509784
Nehru Nagar Or Shantaram Raut Chowk,19.06145155667271,72.87994832084944
Dr Ambedkar Chowk (Goregaon) #1,19.17354103110973,72.85709993808076
Manjiri Paradise Sector 35 Kharghar (Navi Mumbai) #1,19.069127885255636,73.0754251457095
Mahavir Nagar Or Link Road,19.214727532788025,72.8380113119626
Cheeta Camp (Trombay) #1,19.038529086530218,72.94465522147844
Vashi Village (Navi Mumbai) #1,19.06962560962061,72.98749533527612
Tata Nagar Or Sambhaji Nagar (Govandi East) #1,19.0519455973292,72.9214579244997
R C F Colony,19.14980949110272,72.94892433837916
Tunga Village (Powai) #1,19.12127559599054,72.8910820058284
Sunder Nagar (Mira Bhayandar) #1,19.28435244788476,72.87118930976963
Pali Hill Naka,19.060283267579145,72.82953407576895
Bandra Colony Bus Station,19.06161309735056,72.85074725148584
Kora Kendra (Andheri West),19.13405056023849,72.8320225128975
Maharashtra Nagar (Bandra East) #1,19.06473516886278,72.85160392423107
Kamani (Kurla West) #1,19.084977178156105,72.88714831807945
Yashwantrao Chavan Pratishthan (Churchgate) #1,18.92666886392534,72.82701701972519
Sector 35 Kharghar (Navi Mumbai) #1,19.069475400356488,73.07293929944036
Vasudeo B Phadke Chowk (Marine Lines) #1,18.942994425516066,72.82808996751118
Navrang Hotel (Navi Mumbai) #1,19.03937133869459,73.06737059478331
Yerala Medical Centre (Navi Mumbai) #1,19.031676018724724,73.06080925062037
Jijamata Udyan (Byculla) #1,18.981401730673603,72.83466450735759
Indira Nagar (Sewri) #1,18.992711165768537,72.8545864056274
Pushpa Heritage,19.210666602172907,72.83873406994054
Chhatrapati Shivaji Maharaj Chowk (Vile Parle) #1,19.110169767915565,72.84934472300769
Tolani Naka (Andheri East) #1,19.129627137701917,72.86561109602404
Gurunanak Vidyalaya (Andheri East) #1,19.129909808229122,72.86306331779097
Jaibhim Nagar (Goregaon) #2,19.17027018175653,72.87479366749383
Tata Colony (Bandra East) #1,19.06058057289571,72.85794129724742
Chandan Cinema (Juhu) #1,19.114938324203152,72.8276771368227
Dr Shyamaprasad Mukherji Garden (Lokmanya Tilak Nagar) #1,19.23073300304716,72.85076269969416
Dmonte Garden (Bandra West) #1,19.059662274080225,72.82611602885345
Diamond Market (Bandra East) #2,19.06656613761214,72.86587716625309
Ambika Mill Bus Depot or Haji Usman Seth Rakhangi Chowk (Mahalakshmi) #1,18.988044580174613,72.8228839009175
Rani Laxmibai Chowk (Sion) #1,19.047237261387373,72.86551571440936
Khedekar Wadi (Mulund East) #1,19.166628994173244,72.95443879600668
Malad Station East Or Poddar Park (Malad East) #1,19.184608200736427,72.85008858006812
Rashmi Rathi Society (Kandivali West) #1,19.21532294147898,72.83588499971152
DY Patil Stadium,19.0425047539312,73.02822078711986
S Bridge Or Mandlik Chowk (Chinchpokli) #1,18.98107851397161,72.83203751219399
Pipe Line (Mulund West) #1,19.17759421729049,72.94012929141904
Nelco (Andheri East) #1,19.117243146821842,72.86290405187847
Patidar Colony (Borivali) #1,19.240663627577927,72.86473499426769
Vasudeo B Phadke Chowk (Marine Lines) #2,18.942239053041387,72.82941109401956
Marwa Road Junction (Andheri East) #1,19.10911684120698,72.88764645184374
Parsi Colony Juhu #1,19.099702880659017,72.827558266931
Kopra Village (Navi Mumbai) #1,19.03725953551007,73.07296834110451
Best Nagar (Goregaon West) #1,19.153259630432746,72.84183428310921
RTO Camp Ghodbunder (Mira Bhayandar) #1,19.28431827666556,72.88997739327145
Mulund Toll Naka Or Mhada Colony (Mulund East) #1,19.17003270785976,72.96712174049281
I N S Ashwini Hospital (Colaba) #1,18.901400709218603,72.81456684713132
Shantivan Road Junction Oshiwara (Andheri West) #1,19.15136200627999,72.83169154647767
Deonar Depot (Chembur) #1,19.045571658500368,72.91076984846212
Mhada Colony (Chedda Nagar) #1,19.06269519731794,72.91554530642271
Samana Pariwar (Goregaon) #1,19.176149933966364,72.87622906994058
Marve Village (Malad West) #1,19.195534377194384,72.79988246407747
Gandhi Market (Sion) #1,19.03281631592156,72.85909833441066
Darya Mahal (Malabar Hill) #1,18.953124859200337,72.79750288008546
Vashi Sector 10 And 15 (Navi Mumbai) #1,19.08104121798568,72.99909939355992
Acharya Garden Or Diamond Garden (Chembur) #1,19.052633042557655,72.89909899999999
Shree Krishna Nagar Shantivan (Borivali) #1,19.23351544439966,72.86409246073056
Bank Of Baroda Malad West,19.178649416736366,72.83409102331353
Scout Camp Or Gyansagar Vidyalaya (Andheri West) #1,19.14605073053986,72.8334081107392
Motilal Nagar Number 2 (Goregaon West) #1,19.163489938324084,72.8357597668648
Maharashtra State Co Operative Bank (Navi Mumbai) #1,19.069840883476285,73.00199911224935
Bhagwati Hospital (Borivali West) #1,19.2405940789435,72.85447268220904
Sanskriti Apartment (Kandivali East) #1,19.213246749445435,72.86367790247483
Malad Depot (Malad West) #1,19.184103066519004,72.83507407299903
Narmada Or Vartak Nagar (Thane) #1,19.210549378192795,72.96165178063107
Jagatdeo Narayan Verma Chowk or Kapol Niwas (Matunga East) #1,19.0246527948398,72.85338658618495
Deonar Fire Brigade Colony (Govandi East) #1,19.055722830965067,72.92216181655027
Madkebuwa Chowk (Parel) #1,19.002717755069476,72.8384699214611
Marathi Vidyalaya Ghatkopar East #1,19.08862431956646,72.91687343741702
Pathan Wadi (Malad East) #1,19.181208408627242,72.85866001967811
Wadavli Village Or Borla Society (Chembur) #1,19.04608366156196,72.90135908130881
Ismail Yusuf College (Jogeshwari East) #1,19.137522064125534,72.85507437024643
Garware Chowk (Vile Parle) #1,19.109230054586718,72.85205579323672
Kamlakar Walawalkar Udyan,19.152831832824887,72.82830130030584
Mulund Railway Station (Mulund West) #1,19.171564356179356,72.95490170587917
Maxus Mall Bhayander West,19.29472283372857,72.85024086083942
Sewree Railway Phatak (Sewri) #1,18.9927267808344,72.85078620122336
Magathane Telecom Exchange (Kandivali East) #1,19.216144216170427,72.86693651901436
Huma Cinema (Bhandup West) #1,19.12927748616198,72.92581263558199
Prathamesh Complex (Andheri West) #1,19.13745447728303,72.83721969109583
Vikhroli Bus Station East #1,19.110315097875024,72.92903587454556
JB Nagar (Andheri East) #1,19.112410605096795,72.86664926009166
Gandhi Nagar (Bhandup West) #2,19.12522204962409,72.92382668192054
Hare Ram Hare Krishna (Juhu) #1,19.11307626717506,72.82615724479199
Walmiki Nagar,19.067253251808,72.8543064052167
Post And Telegraphs (Mulund West) #1,19.171230003197824,72.94358960038603
Vashinaka M M R D A Colony (Chembur) #1,19.030963775568708,72.90313005491446
Ghodbunder Village Junction (Mira Bhayandar) #1,19.286921431573965,72.89387865745307
Matunga Labour Camp (Dharavi) #1,19.038462955792774,72.85309611408614
B P T Colony Wadala East (Antop Hill) #1,19.017665176867226,72.86410326062989
Indian Oil BKC,19.058913889019472,72.86480141771015
Bhayandar Station East (Mira Bhayandar),19.312246858482517,72.85355078406141
Juhu Shopping Centre (Andheri West) #1,19.115641947807593,72.8348756153269
Khar S V Road (Khar West) #1,19.069891127460497,72.83779101165676
Parsi General Hospital (Cumballa Hill) #2,18.968567996578795,72.80358242824173
Chunabhatti Bus Terminus (Sion) #1,19.051487213855548,72.8686503571472
Saint Andrew Church (Bandra West) #1,19.054725726076708,72.82574971192788
Milap Talkies (Kandivali West) #1,19.196279346770083,72.84752805245542
Khewra Circle #1,19.232799455422875,72.96974996553564
Navghar Phata #1,18.899921404406548,72.98469759211555
Sadbhakti Mandir (Jogeshwari East) #1,19.12947,72.849959
Dr Bhadkamkar Marg Junction (Grant Road) #1,18.960266062688184,72.8171654142567
St Joseph Technical School (Kurla West) #1,19.080927141762118,72.8886503524728
Oberoi Woods (Goregaon) #1,19.16915291598448,72.8645286239252
Riddhi Siddhi Society (Mulund East) #1,19.16946136890218,72.95481181378031
Madh Church Or Madh Beach #1,19.144578063732823,72.79019041410349
General Arun Kumar Vaidya Marg Junction (Goregaon) #2,19.17578247722791,72.85938556001852
Shrirang Society Thane #1,19.20613742471293,72.98012674117948
Fire Brigade Centre Or Kharodi Colony (Malad) #2,19.196642420840696,72.82168048710251
Sarvodaya Hospital (Ghatkopar West) #1,19.088738847252422,72.90690226285412
Chhatrapati Shivaji Maharaj Talao (Bhandup West) #1,19.147599718493627,72.92961510491084
Kanheri Caves,19.206828617567083,72.90398765503026
Bhayander Station East,19.30972485583617,72.85328011907782
Terna Engineer College Koperkhairane (Navi Mumbai) #1,19.11117284524373,73.0034248662357
State Bank (Andheri East) #1,19.115247,72.879792
Mahatma Phule Market (Fort) #1,18.943887097300667,72.83446450735758
Doordarshan,19.00631344113094,72.81965507054356
Chowpati Band Stand (Malabar Hill) #1,18.955779294014487,72.80912719233655
Ruby Mill Or Zarapkar Stores (Dadar) #1,19.024103155453684,72.84506589454091
Hanuman Mandir (Bhandup West) #1,19.157499977517084,72.94351037330482
Bhakti Palace (Dahisar West) #1,19.255957020498908,72.84963540054225
Bharatmata Cinema (Parel) #1,18.994794,72.83843322
Shivraj Bhavan,19.00630602295812,72.8345624490738
Century Mills (Lower Parel) #1,19.00632631081547,72.82466561047887
Gagandeep (Vile Parle West) #1,19.113808167923658,72.83668205245542
Samata Nagar Building Number 3 and 5 (Kandivali East) #1,19.205818717840163,72.8679143122511
Hindustan Chowk (Mulund West) #1,19.176902999999996,72.93859164141035
Siddharth Nagar (Thane) #1,19.18247475691656,72.9706883509774
